,symbol
1678,ATT
1679,EM
1680,STM
1681,ALPHABET
1682,EXM
1683,XRPH
1684,XY
1685,GLCH
1686,AX
1687,CTCN
1688,BLAST
1689,SYNC
1690,PACE
1691,TIPS
1692,BELT
1693,PTP
1694,LABS
1695,LEG
1696,ELAND
1697,CLO
1698,SHND
1699,AVG
1700,DXGM
1701,GALO
1702,SPARTA
1703,EOSDT
1704,BTX
1705,SPFC
1706,CZGOAT
1707,MITH
1708,MMA
1709,HIDOODLES
1710,ILC
1711,IOEN
1712,FEX
1713,PUT
1714,RFUEL
1715,MFC
1716,DEC
1717,CAT
1718,KTN
1719,FWC
1720,FTC
1721,GRLC
1722,EUM
1723,NIX
1724,HIENS3
1725,FRKT
1726,LOCG
1727,IBFK
1728,NINO
1729,DON
1730,PKR
1731,VEX
1732,MRX
1733,GFI
1734,BITS
1735,REGENT
1736,PETS
1737,TRV
1738,ABYSS
1739,GLINT
1740,YEC
1741,LINKA
1742,DTX
1743,IBS
1744,A
1745,NAFT
1746,DCN
1747,KSN
1748,HYVE
1749,GOB
1750,OLY
1751,WEST
1752,THC
1753,PVU
1754,SLRS
1755,SLICE
1756,C20
1757,EDEN
1758,MINT
1759,X
1760,RVLT
1761,HMQ
1762,PLSPAD
1763,TOKO
1764,BLANK
1765,PYM
1766,XPC
1767,XBC
1768,ARCONA
1769,ATOLO
1770,PFL
1771,WZRD
1772,IMT
1773,PERL
1774,FBX
1775,ACQ
1776,SKILL
1777,COR
1778,SAKAI
1779,KOK
1780,AIT
1781,AGA
1782,OXY
1783,ACK
1784,CYC
1785,LOWB
1786,FARA
1787,DXL
1788,ZOON
1789,SALD
1790,TONE
1791,BXC
1792,PXC
1793,MIST
1794,EARN
1795,VEIL
1796,CRA
1797,OGGY
1798,MINTME
1799,STRONG
1800,IOI
1801,STARSHIP
1802,VNXAU
1803,ICE
1804,FWT
1805,UDO
1806,ZEFU
1807,POR
1808,ISLAMI
1809,ZCL
1810,CO
1811,REAP
1812,CLEG
1813,OCE
1814,GOLD
1815,GNX
1816,BIS
1817,SNM
1818,COMBO
1819,BHC
1820,SOV
1821,TH
1822,OPIUM
1823,SOHOT
1824,FINA
1825,WFAI
1826,CLOAK
1827,VIT
1828,S4F
1829,NFTY
1830,SHOP
1831,KRIPTO
1832,BMON
1833,GTH
1834,EUNO
1835,METAQ
1836,CFi
1837,404A
1838,PLOT
1839,BALPHA
1840,VXL
1841,NEI
1842,STND
1843,KCCPAD
1844,HANDY
1845,TXA
1846,NBS
1847,NERD
1848,ZER
1849,DIGG
1850,erowan
1851,TKING
1852,AWC
1853,SUMO
1854,PLAY
1855,SATA
1856,LTRBT
1857,WSG
1858,HYPER
1859,HPB
1860,AGATA
1861,BOB
1862,HUSL
1863,MTVT
1864,HUSH
1865,QRT
1866,FXDX
1867,DDK
1868,WNDR
1869,SHI
1870,XLD
1871,XRP
1872,BBANK
1873,BMI
1874,MAT
1875,8PAY
1876,ETHO
1877,SWP
1878,EQZ
1879,ZIK
1880,PAPI
1881,HAN
1882,GEM
1883,NFTD
1884,ROCKI
1885,XPNET
1886,RFR
1887,MASS
1888,LEV
1889,COT
1890,SCC
1891,TRR
1892,PAINT
1893,AZY
1894,PAR
1895,KABY
1896,PACOCA
1897,ALA
1898,SATT
1899,BLKC
1900,XBY
1901,ZLW
1902,BIN
1903,CNS
1904,HIFLUF
1905,HIFIDENZA
